Blender 4.0.2
Fra:1 Mem:24.38M (Peak 24.38M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_1
Fra:1 Mem:24.39M (Peak 24.39M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_1
Fra:1 Mem:24.39M (Peak 24.39M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_2
Fra:1 Mem:24.40M (Peak 24.40M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_2
Fra:1 Mem:24.41M (Peak 24.41M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_3
Fra:1 Mem:24.41M (Peak 24.41M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_4
Fra:1 Mem:24.43M (Peak 24.43M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_4
Fra:1 Mem:24.43M (Peak 24.43M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_5
Fra:1 Mem:24.45M (Peak 24.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_6
Fra:1 Mem:24.45M (Peak 24.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_7
Fra:1 Mem:24.45M (Peak 24.46M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_8
Fra:1 Mem:24.49M (Peak 24.49M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_8
Fra:1 Mem:24.49M (Peak 24.49M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_10
Fra:1 Mem:24.51M (Peak 24.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_10
Fra:1 Mem:24.52M (Peak 24.52M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Oeste_1_a
Fra:1 Mem:24.53M (Peak 24.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Oeste_1_b
Fra:1 Mem:24.53M (Peak 24.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Oeste_1_Porta
Fra:1 Mem:24.53M (Peak 24.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Oeste_2_a
Fra:1 Mem:24.53M (Peak 24.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Leste_1_a
Fra:1 Mem:24.53M (Peak 24.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Leste_1_b
